Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BartSimpson_R1	BartSimpson_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	200.5 kbp	0.0	151.0	46.0	99.3975903614458	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
BartSimpson_R2	BartSimpson_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	200.5 kbp	0.0	151.0	46.0	99.3975903614458	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
LisaSimpson_R1	LisaSimpson_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	199.3 kbp	0.0	151.0	46.0	99.69696969696969	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
LisaSimpson_R2	LisaSimpson_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	199.3 kbp	0.0	151.0	46.0	99.62121212121212	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
MaggieSimpson_R1	MaggieSimpson_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	200.5 kbp	0.0	151.0	45.0	99.77409638554217	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
MaggieSimpson_R2	MaggieSimpson_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	200.5 kbp	0.0	151.0	46.0	99.62349397590361	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
MargeSimpson_R1	MargeSimpson_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	200.5 kbp	0.0	151.0	46.0	99.47289156626506	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
MargeSimpson_R2	MargeSimpson_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1352.0	204.1 kbp	0.0	151.0	46.0	99.2603550295858	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
PattyBouvier_R1	PattyBouvier_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	199.3 kbp	0.0	151.0	46.0	99.46969696969697	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
PattyBouvier_R2	PattyBouvier_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1344.0	202.9 kbp	0.0	151.0	46.0	99.47916666666666	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
SelmaBouvier_R1	SelmaBouvier_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	200.5 kbp	0.0	151.0	45.0	99.77409638554217	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
SelmaBouvier_R2	SelmaBouvier_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1352.0	204.1 kbp	0.0	151.0	46.0	99.40828402366864	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
