Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
BartSimpson_R1	0.6024096385542066	46.0	151.0	151	0.0	0.001328
BartSimpson_R2	0.6024096385542066	46.0	151.0	151	0.0	0.001328
LisaSimpson_R1	0.30303030303031164	46.0	151.0	151	10.0	0.00132
LisaSimpson_R2	0.37878787878787534	46.0	151.0	151	0.0	0.00132
MaggieSimpson_R1	0.22590361445783458	45.0	151.0	151	0.0	0.001328
MaggieSimpson_R2	0.3765060240963862	46.0	151.0	151	10.0	0.001328
MargeSimpson_R1	0.5271084337349379	46.0	151.0	151	10.0	0.001328
MargeSimpson_R2	0.7396449704142043	46.0	151.0	151	0.0	0.001352
PattyBouvier_R1	0.5303030303030312	46.0	151.0	151	0.0	0.00132
PattyBouvier_R2	0.5208333333333428	46.0	151.0	151	10.0	0.001344
SelmaBouvier_R1	0.22590361445783458	45.0	151.0	151	10.0	0.001328
SelmaBouvier_R2	0.5917159763313578	46.0	151.0	151	10.0	0.001352
