GeneID,AbrahamSimpson,HomerSimpson,BartSimpson,LisaSimpson,MaggieSimpson,media_TPM_Obeso1,media_TPM_Normopeso,diferencia_media_TPM,ratio_Obeso1_vs_Normopeso
POMC,154703.70607,143049.81932,98350.728196,102779.871174,87555.559448,148876.763,96228.72,52648.043,1.547
MC4R,11925.614853,9286.64577,46159.415338,26349.590779,42370.418489,10606.13,38293.142,-27687.011,0.277
LEPR,41642.827255,23010.720983,3407.243643,6315.454368,6418.532476,32326.774,5380.41,26946.364,6.008
LEP,10200.659976,21616.065985,43382.483888,47573.265918,36013.893864,15908.363,42323.215,-26414.852,0.376
SH2B1,39589.285231,45181.07362,27115.976502,27675.287641,13205.497902,42385.179,22665.587,19719.592,1.87
MRAP2,48250.195973,38872.329332,38656.984123,39045.692858,109237.452844,43561.263,62313.377,-18752.114,0.699
BDNF,17342.793589,17623.803158,32363.456707,33397.236986,29868.349338,17483.298,31876.348,-14393.049,0.548
PCSK1,25698.105705,31261.51112,17604.918864,15349.401307,17284.630399,28479.808,16746.317,11733.492,1.701
NTRK2,5406.666629,5578.386949,12722.545686,14969.760081,11207.633186,5492.527,12966.646,-7474.12,0.424
CADM2,6901.844555,7693.057247,13593.446694,13930.804415,12614.676591,7297.451,13379.643,-6082.192,0.545
GPR75,33360.453977,51998.41115,43852.997257,51860.19078,45564.457115,42679.433,47092.548,-4413.116,0.906
AGRP,206994.359162,209126.943587,216350.699892,219509.696586,197721.456016,208060.651,211193.951,-3133.299,0.985
NRP2,13056.362862,11209.049377,17419.68295,16908.485236,10924.300574,12132.706,15084.156,-2951.45,0.804
KSR2,4657.968019,11076.045568,18312.25275,6223.366193,6965.431572,7867.007,10500.35,-2633.343,0.749
ANO4,19185.720437,18435.77892,17111.112873,17370.993965,14524.333581,18810.75,16335.48,2475.27,1.152
PPARG,35327.21996,51944.31309,50030.531849,39471.543299,47872.137986,43635.767,45791.404,-2155.638,0.953
NRP1,9124.551829,13640.93358,10399.659189,8606.213131,8795.054979,11382.743,9266.976,2115.767,1.228
GPR151,42480.002425,44032.621857,45517.94975,40138.933001,38440.108009,43256.312,41365.664,1890.649,1.046
UBR2,14556.204499,17560.76808,16023.302662,23413.144476,14103.491262,16058.486,17846.646,-1788.16,0.9
ADCY3,15022.328096,16979.86059,14426.634338,15547.245562,12872.956295,16001.094,14282.279,1718.816,1.12
ROBO1,8082.418239,6615.487221,7951.62363,9839.94481,9274.082446,7348.953,9021.884,-1672.931,0.815
KIAA0586,8446.933231,9397.096943,7249.475991,6944.865615,7601.812093,8922.015,7265.385,1656.631,1.228
CNR1,20375.885554,20853.421239,20602.274263,17966.084867,19626.435956,20614.653,19398.265,1216.388,1.063
SIM1,4774.182152,5177.727865,4862.250352,6529.00787,7047.280496,4975.955,6146.18,-1170.225,0.81
DPP9,25067.564319,25273.332429,21924.754414,23766.215995,26759.302884,25170.448,24150.091,1020.357,1.042
SPARC,28815.874144,27132.984562,29790.342949,27172.206087,24576.13502,27974.429,27179.561,794.868,1.029
PHIP,2880.12258,3671.100727,2978.532047,5267.204226,3327.607096,3275.612,3857.781,-582.169,0.849
ANKRD27,15206.266489,16344.702822,16479.975452,17199.748202,15354.509717,15775.485,16344.744,-569.26,0.965
CREBRF,11174.504131,5476.912237,7653.539199,9211.406446,6421.600634,8325.708,7762.182,563.526,1.073
GIPR,49792.490793,25008.407311,27094.575331,30040.588846,56629.740061,37400.449,37921.635,-521.186,0.986
FTO,1898.74182,2043.013521,2358.377196,4097.046768,835.585395,1970.878,2430.336,-459.459,0.811
PDE3B,22220.29908,15588.819208,21201.404166,23089.391451,13765.02136,18904.559,19351.939,-447.38,0.977
TMEM18,7057.292987,8791.842867,6933.376976,10029.89782,7997.211585,7924.568,8320.162,-395.594,0.952
CALCR,19108.93935,20409.659847,20251.758079,21242.554134,18899.045949,19759.3,20131.119,-371.82,0.982
CADM1,7730.616025,8201.36892,8291.047986,8763.042313,7777.316585,7965.992,8277.136,-311.143,0.962
UHMK1,8031.196356,8386.408607,8477.603117,8847.741482,8129.028626,8208.802,8484.791,-275.989,0.967
BLTP1,3909.801646,2449.574392,3097.065702,3556.875313,2417.91217,3179.688,3023.951,155.737,1.052
