GeneID,media_TPM_Obeso1,media_TPM_Normopeso,diferencia_media_TPM,ratio_Obeso1_vs_Normopeso
POMC,148876.763,96228.72,52648.043,1.547
MC4R,10606.13,38293.142,-27687.011,0.277
LEPR,32326.774,5380.41,26946.364,6.008
LEP,15908.363,42323.215,-26414.852,0.376
SH2B1,42385.179,22665.587,19719.592,1.87
MRAP2,43561.263,62313.377,-18752.114,0.699
BDNF,17483.298,31876.348,-14393.049,0.548
PCSK1,28479.808,16746.317,11733.492,1.701
NTRK2,5492.527,12966.646,-7474.12,0.424
CADM2,7297.451,13379.643,-6082.192,0.545
