GeneID,AbrahamSimpson,HomerSimpson,BartSimpson,LisaSimpson,MaggieSimpson
ADCY3,32.0,32.0,32.0,32.0,32.0
AGRP,32.0,32.0,32.0,32.0,32.0
ANKRD27,32.0,32.0,32.0,32.0,32.0
ANO4,32.0,32.0,32.0,32.0,32.0
BDNF,31.999,32.0,56.0,56.0,56.0
BLTP1,27.346,14.98,21.74,23.948,19.196
CADM1,32.0,32.0,32.0,32.0,32.0
CADM2,32.0,32.0,56.001,56.0,56.001
CALCR,32.0,32.0,32.0,32.0,32.0
CNR1,53.417,54.788,53.236,48.566,54.651
CREBRF,23.272,18.698,25.856,29.817,23.331
DPP9,45.207,45.375,42.332,39.943,47.78
FTO,16.104,18.577,16.526,15.729,5.827
GIPR,36.376,34.725,34.874,43.052,44.216
GPR151,59.992,57.981,59.598,50.355,53.897
GPR75,31.225,45.534,38.334,43.435,42.504
KIAA0586,29.759,34.613,26.692,23.983,29.389
KSR2,40.63,40.809,46.565,47.9,45.749
LEP,16.328,32.235,64.329,67.546,57.234
LEPR,68.909,57.987,12.496,16.075,16.227
MC4R,8.897,6.499,32.341,17.688,31.596
MRAP2,44.595,34.813,35.349,31.587,39.651
NRP1,24.012,34.523,25.873,26.719,23.983
NRP2,40.246,33.399,33.077,32.096,34.481
NTRK2,20.22,21.153,47.328,55.914,46.949
PCSK1,59.165,66.934,39.844,33.285,42.014
PDE3B,42.877,23.99,34.266,33.785,32.6
PHIP,16.845,28.381,22.748,28.572,23.801
POMC,70.114,62.906,43.939,44.398,41.321
PPARG,26.076,38.469,32.213,19.744,31.285
ROBO1,26.729,20.031,24.227,31.446,30.179
SH2B1,67.416,68.577,40.496,37.258,30.616
SIM1,18.992,19.714,17.765,23.562,28.554
SPARC,46.47,40.777,44.482,38.891,39.323
TMEM18,22.737,24.395,19.051,28.473,25.472
UBR2,48.046,51.14,56.422,50.23,50.172
UHMK1,32.0,32.0,32.0,32.0,32.0
