GeneID,AbrahamSimpson,HomerSimpson,BartSimpson,LisaSimpson,MaggieSimpson
ADCY3,15022.328096,16979.86059,14426.634338,15547.245562,12872.956295
AGRP,206994.359162,209126.943587,216350.699892,219509.696586,197721.456016
ANKRD27,15206.266489,16344.702822,16479.975452,17199.748202,15354.509717
ANO4,19185.720437,18435.77892,17111.112873,17370.993965,14524.333581
BDNF,17342.793589,17623.803158,32363.456707,33397.236986,29868.349338
BLTP1,3909.801646,2449.574392,3097.065702,3556.875313,2417.91217
CADM1,7730.616025,8201.36892,8291.047986,8763.042313,7777.316585
CADM2,6901.844555,7693.057247,13593.446694,13930.804415,12614.676591
CALCR,19108.93935,20409.659847,20251.758079,21242.554134,18899.045949
CNR1,20375.885554,20853.421239,20602.274263,17966.084867,19626.435956
CREBRF,11174.504131,5476.912237,7653.539199,9211.406446,6421.600634
DPP9,25067.564319,25273.332429,21924.754414,23766.215995,26759.302884
FTO,1898.74182,2043.013521,2358.377196,4097.046768,835.585395
GIPR,49792.490793,25008.407311,27094.575331,30040.588846,56629.740061
GPR151,42480.002425,44032.621857,45517.94975,40138.933001,38440.108009
GPR75,33360.453977,51998.41115,43852.997257,51860.19078,45564.457115
KIAA0586,8446.933231,9397.096943,7249.475991,6944.865615,7601.812093
KSR2,4657.968019,11076.045568,18312.25275,6223.366193,6965.431572
LEP,10200.659976,21616.065985,43382.483888,47573.265918,36013.893864
LEPR,41642.827255,23010.720983,3407.243643,6315.454368,6418.532476
MC4R,11925.614853,9286.64577,46159.415338,26349.590779,42370.418489
MRAP2,48250.195973,38872.329332,38656.984123,39045.692858,109237.452844
NRP1,9124.551829,13640.93358,10399.659189,8606.213131,8795.054979
NRP2,13056.362862,11209.049377,17419.68295,16908.485236,10924.300574
NTRK2,5406.666629,5578.386949,12722.545686,14969.760081,11207.633186
PCSK1,25698.105705,31261.51112,17604.918864,15349.401307,17284.630399
PDE3B,22220.29908,15588.819208,21201.404166,23089.391451,13765.02136
PHIP,2880.12258,3671.100727,2978.532047,5267.204226,3327.607096
POMC,154703.70607,143049.81932,98350.728196,102779.871174,87555.559448
PPARG,35327.21996,51944.31309,50030.531849,39471.543299,47872.137986
ROBO1,8082.418239,6615.487221,7951.62363,9839.94481,9274.082446
SH2B1,39589.285231,45181.07362,27115.976502,27675.287641,13205.497902
SIM1,4774.182152,5177.727865,4862.250352,6529.00787,7047.280496
SPARC,28815.874144,27132.984562,29790.342949,27172.206087,24576.13502
TMEM18,7057.292987,8791.842867,6933.376976,10029.89782,7997.211585
UBR2,14556.204499,17560.76808,16023.302662,23413.144476,14103.491262
UHMK1,8031.196356,8386.408607,8477.603117,8847.741482,8129.028626
