"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XR_007068865.1",1.74303579453098,-3.96455758685495,4.43396806967855,-0.894133093552559,0.371250684705421,0.627659634627179
"NM_001377130.1",4.98493266025058,6.10632735068759,3.90313277904154,1.56446826084842,0.117707641039726,0.620463109107511
"NM_001377129.1",2.69468377157541,-4.59298648296238,4.42460801805803,-1.0380550015317,0.299244449280088,0.62082890811225
"XM_047443014.1",0,NA,NA,NA,NA,NA
"XM_047443012.1",0,NA,NA,NA,NA,NA
"NM_004036.5",0,NA,NA,NA,NA,NA
"XM_047443009.1",0,NA,NA,NA,NA,NA
"XM_047443010.1",0,NA,NA,NA,NA,NA
"NM_001320613.2",0,NA,NA,NA,NA,NA
"XM_047443008.1",2.53879757253809,5.13168186136936,4.3471480521355,1.18047092020445,0.237812969625241,0.620463109107511
"XM_017003187.2",0,NA,NA,NA,NA,NA
"XM_011532491.2",0,NA,NA,NA,NA,NA
"XM_011532494.2",2.51771836987808,-4.49483576667187,4.42581627211106,-1.01559474915299,0.309822406343712,0.62082890811225
"XM_047443013.1",3.87341287673551,0.58563600781435,4.09670790227085,0.142952834760253,0.886327430922962,0.95304024830426
"NM_001377128.1",0,NA,NA,NA,NA,NA
"XM_047443007.1",3.2663485356558,-4.86890736198507,4.42161898409099,-1.10115941231106,0.270827283006278,0.620463109107511
"XM_006711925.2",0,NA,NA,NA,NA,NA
"XM_047443006.1",0,NA,NA,NA,NA,NA
"XM_017003189.2",0,NA,NA,NA,NA,NA
"XM_047443011.1",0,NA,NA,NA,NA,NA
"XM_011532493.2",3.46459342059696,-4.95540013474925,4.42079338568158,-1.12093004635756,0.262317640121268,0.620463109107511
"XM_011532490.2",0,NA,NA,NA,NA,NA
"XM_017003188.2",0,NA,NA,NA,NA,NA
"XM_011532489.2",0,NA,NA,NA,NA,NA
"XM_011532492.3",0,NA,NA,NA,NA,NA
"XM_047443005.1",3.2663485356558,-4.86890736198507,4.42161898409099,-1.10115941231106,0.270827283006278,0.620463109107511
"NM_001377132.1",0,NA,NA,NA,NA,NA
"XM_047443016.1",0,NA,NA,NA,NA,NA
"XM_017003191.1",0.968353219183878,3.74472157406749,4.37791756509494,0.855365940173038,0.392348593135263,0.648510071297956
"NM_001377131.1",0,NA,NA,NA,NA,NA
"XM_047443015.1",2.53879757253809,5.13168186136936,4.3471480521355,1.18047092020445,0.237812969625241,0.620463109107511
"XR_008486253.1",0,NA,NA,NA,NA,NA
"XM_054340246.1",0,NA,NA,NA,NA,NA
"XM_054340244.1",0,NA,NA,NA,NA,NA
"XM_054340241.1",0,NA,NA,NA,NA,NA
"XM_054340242.1",0,NA,NA,NA,NA,NA
"XM_054340240.1",0,NA,NA,NA,NA,NA
"XM_054340231.1",0,NA,NA,NA,NA,NA
"XM_054340230.1",0,NA,NA,NA,NA,NA
"XM_054340239.1",0,NA,NA,NA,NA,NA
"XM_054340245.1",0,NA,NA,NA,NA,NA
"XM_054340238.1",0,NA,NA,NA,NA,NA
"XM_054340229.1",0,NA,NA,NA,NA,NA
"XM_054340237.1",0,NA,NA,NA,NA,NA
"XM_054340236.1",0,NA,NA,NA,NA,NA
"XM_054340243.1",0,NA,NA,NA,NA,NA
"XM_054340235.1",0,NA,NA,NA,NA,NA
"XM_054340228.1",0,NA,NA,NA,NA,NA
"XM_054340233.1",0,NA,NA,NA,NA,NA
"XM_054340227.1",0,NA,NA,NA,NA,NA
"XM_054340232.1",0,NA,NA,NA,NA,NA
"XM_054340234.1",0,NA,NA,NA,NA,NA
"XM_054340249.1",0,NA,NA,NA,NA,NA
"XM_054340247.1",0,NA,NA,NA,NA,NA
"XM_054340248.1",0,NA,NA,NA,NA,NA
"NM_001138.2",28.9894573887115,0.0214727491943167,0.790217225240785,0.0271732233978749,0.978321572450674,0.978321572450674
"XM_047433694.1",2.86756494042764,0.251193855293517,3.70759611225837,0.0677511378499397,0.945983740679458,0.970374910135025
"NM_032139.3",31.8570223291392,0.0420638642172617,0.649946779429058,0.0647189363015421,0.948397785441506,0.970374910135025
"XM_011537912.3",0,NA,NA,NA,NA,NA
"XM_011537911.3",6.7617672921477,-5.91984738568759,4.11224785164449,-1.43956483151186,0.149990555486667,0.620463109107511
"XM_047428302.1",0,NA,NA,NA,NA,NA
"XM_011537913.3",8.15996944060217,-6.19058612437052,3.9815705308947,-1.55481011232506,0.119991300046851,0.620463109107511
"XM_047428308.1",0,NA,NA,NA,NA,NA
"XM_011537915.3",2.32404772604131,5.00627121005546,4.34888390615749,1.15116230234778,0.249665470762498,0.620463109107511
"XM_047428305.1",0,NA,NA,NA,NA,NA
"XM_047428303.1",0,NA,NA,NA,NA,NA
"XM_047428307.1",0,NA,NA,NA,NA,NA
"XM_047428306.1",0,NA,NA,NA,NA,NA
"XM_011537918.3",2.87725755265586,-0.680034958497537,3.7724453713408,-0.180263699419944,0.856945552464913,0.946901162944655
"NM_001286615.2",0,NA,NA,NA,NA,NA
"NM_178826.4",0,NA,NA,NA,NA,NA
"XM_011537916.3",1.93670643836776,-4.11648489913551,4.43132066405274,-0.928952159235235,0.352913880003314,0.627659634627179
"NM_001286616.1",5.92386100258887,6.35462089978044,4.33620681252268,1.46547920210556,0.142790222598838,0.620463109107511
"XM_024448842.2",0,NA,NA,NA,NA,NA
"XM_024448841.2",3.87341287673551,5.74279181412848,4.34054160920213,1.32305880951665,0.185815821307373,0.620463109107511
"XM_054371108.1",0,NA,NA,NA,NA,NA
"XM_054371111.1",0,NA,NA,NA,NA,NA
"XM_054371105.1",0,NA,NA,NA,NA,NA
"XM_054371107.1",0,NA,NA,NA,NA,NA
"XM_054371106.1",0,NA,NA,NA,NA,NA
"XM_054371104.1",0,NA,NA,NA,NA,NA
"XM_054371113.1",0,NA,NA,NA,NA,NA
"XM_054371112.1",0,NA,NA,NA,NA,NA
"XM_054371109.1",0,NA,NA,NA,NA,NA
"XM_054371110.1",0,NA,NA,NA,NA,NA
"XM_054371117.1",0,NA,NA,NA,NA,NA
"XM_054371114.1",0,NA,NA,NA,NA,NA
"NM_170731.5",0.581011931510327,3.00935325784305,4.41079537911243,0.682269976089577,0.495068254217575,0.738907842115783
"NM_001143805.1",3.34478164343375,1.77631302279627,4.09019006369186,0.434286181115246,0.664080637450419,0.857180142109806
"NM_001143806.1",11.8192852833991,-6.7252111433715,4.24353375150086,-1.58481386909976,0.113008630324522,0.620463109107511
"NM_170732.4",6.77012686010157,6.54731607256698,4.33518007189649,1.510275458916,0.130973151072007,0.620463109107511
"NM_001143807.2",0,NA,NA,NA,NA,NA
