Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BartSimpson_R1	(1, 36.34939759036145)	(2, 36.28313253012048)	(3, 36.19277108433735)	(4, 36.17921686746988)	(5, 36.454819277108435)	(6, 36.506024096385545)	(7, 36.498493975903614)	(8, 36.30722891566265)	(9, 36.49548192771084)	(10, 36.42801204819277)	(15, 36.380722891566265)	(20, 36.32078313253012)	(25, 36.482530120481925)	(30, 36.43795180722891)	(35, 36.42409638554217)	(40, 36.064006024096386)	(45, 36.10361445783133)	(50, 36.39518072289157)	(55, 36.274698795180726)	(60, 36.14578313253012)	(65, 36.15512048192771)	(70, 36.2222891566265)	(75, 36.08780120481928)	(80, 36.18298192771085)	(85, 35.99066265060241)	(90, 36.29728915662651)	(95, 36.111746987951804)	(100, 36.0921686746988)	(105, 36.15963855421687)	(110, 36.08343373493976)	(115, 35.94819277108434)	(120, 35.91596385542169)	(125, 35.908734939759036)	(130, 36.13012048192771)	(135, 36.138253012048196)	(140, 35.873192771084334)	(145, 36.130421686746985)	(150, 36.08960843373494)
BartSimpson_R2	(1, 36.3027108433735)	(2, 36.36746987951807)	(3, 36.17620481927711)	(4, 36.56325301204819)	(5, 36.2605421686747)	(6, 36.274096385542165)	(7, 36.420180722891565)	(8, 36.41415662650602)	(9, 36.56174698795181)	(10, 36.42620481927711)	(15, 36.30301204819277)	(20, 36.35632530120482)	(25, 36.267469879518075)	(30, 36.225)	(35, 35.76174698795181)	(40, 36.08253012048193)	(45, 36.21114457831326)	(50, 36.080120481927715)	(55, 36.14608433734939)	(60, 36.06566265060241)	(65, 36.0117469879518)	(70, 36.171987951807225)	(75, 35.89668674698795)	(80, 35.5710843373494)	(85, 35.769277108433734)	(90, 36.064156626506026)	(95, 36.093674698795176)	(100, 35.593674698795176)	(105, 35.84789156626506)	(110, 36.02981927710843)	(115, 35.993975903614455)	(120, 35.91234939759036)	(125, 35.7117469879518)	(130, 35.55)	(135, 35.83072289156627)	(140, 35.64638554216867)	(145, 35.54518072289157)	(150, 35.58810240963855)
LisaSimpson_R1	(1, 36.74545454545454)	(2, 36.31212121212121)	(3, 36.21666666666667)	(4, 35.78939393939394)	(5, 36.60757575757576)	(6, 36.43636363636364)	(7, 36.59090909090909)	(8, 36.346969696969694)	(9, 36.27121212121212)	(10, 36.18515151515152)	(15, 36.39818181818182)	(20, 36.36333333333333)	(25, 36.355606060606064)	(30, 36.2109090909091)	(35, 36.17121212121212)	(40, 36.08060606060606)	(45, 36.3239393939394)	(50, 36.14727272727272)	(55, 36.16666666666667)	(60, 36.238787878787875)	(65, 36.22636363636364)	(70, 35.913333333333334)	(75, 35.84909090909091)	(80, 35.76818181818182)	(85, 36.156969696969696)	(90, 35.8209090909091)	(95, 35.85909090909091)	(100, 35.95)	(105, 35.81454545454545)	(110, 35.67575757575757)	(115, 35.585151515151516)	(120, 35.85181818181818)	(125, 35.87333333333333)	(130, 35.904242424242426)	(135, 35.769393939393936)	(140, 35.974242424242426)	(145, 35.74606060606061)	(150, 36.15227272727273)
LisaSimpson_R2	(1, 36.29242424242424)	(2, 36.14242424242424)	(3, 36.1030303030303)	(4, 36.39090909090909)	(5, 36.09090909090909)	(6, 36.05)	(7, 36.35454545454545)	(8, 36.127272727272725)	(9, 36.53636363636364)	(10, 36.18212121212121)	(15, 36.38787878787879)	(20, 36.06878787878788)	(25, 36.29878787878788)	(30, 36.19121212121212)	(35, 36.18030303030303)	(40, 36.27333333333333)	(45, 36.09484848484848)	(50, 36.21545454545455)	(55, 36.00575757575758)	(60, 36.0339393939394)	(65, 36.055454545454545)	(70, 36.0439393939394)	(75, 35.99666666666667)	(80, 35.82727272727273)	(85, 35.97409090909091)	(90, 35.84333333333334)	(95, 35.74454545454545)	(100, 36.012727272727275)	(105, 35.876060606060605)	(110, 35.89969696969697)	(115, 35.85424242424243)	(120, 35.625151515151515)	(125, 35.86939393939394)	(130, 35.59939393939394)	(135, 35.780606060606054)	(140, 35.53181818181818)	(145, 35.7469696969697)	(150, 35.983333333333334)
MaggieSimpson_R1	(1, 36.43674698795181)	(2, 35.894578313253014)	(3, 36.04216867469879)	(4, 35.721385542168676)	(5, 36.248493975903614)	(6, 36.44879518072289)	(7, 36.34789156626506)	(8, 36.295180722891565)	(9, 36.23795180722892)	(10, 36.39578313253013)	(15, 36.41867469879518)	(20, 36.51024096385542)	(25, 36.17620481927711)	(30, 36.209939759036146)	(35, 36.30331325301205)	(40, 36.413554216867475)	(45, 36.27108433734939)	(50, 36.20542168674699)	(55, 36.38584337349398)	(60, 36.42319277108434)	(65, 36.04427710843373)	(70, 36.18343373493976)	(75, 36.093674698795176)	(80, 36.1527108433735)	(85, 36.084939759036146)	(90, 36.147891566265066)	(95, 36.08102409638555)	(100, 35.947891566265056)	(105, 36.177108433734944)	(110, 35.869277108433735)	(115, 35.834638554216866)	(120, 35.90180722891566)	(125, 36.07349397590362)	(130, 35.76415662650602)	(135, 35.96355421686748)	(140, 35.94879518072289)	(145, 35.89307228915662)	(150, 36.12198795180723)
MaggieSimpson_R2	(1, 36.088855421686745)	(2, 35.71987951807229)	(3, 36.234939759036145)	(4, 36.015060240963855)	(5, 36.17921686746988)	(6, 36.16566265060241)	(7, 36.49246987951807)	(8, 36.42620481927711)	(9, 36.33132530120482)	(10, 36.3027108433735)	(15, 36.269277108433734)	(20, 36.31686746987952)	(25, 36.19186746987951)	(30, 36.1960843373494)	(35, 36.31114457831325)	(40, 36.20090361445783)	(45, 36.12951807228916)	(50, 36.0828313253012)	(55, 36.013253012048196)	(60, 36.16475903614458)	(65, 35.982831325301206)	(70, 35.822891566265056)	(75, 35.88493975903615)	(80, 35.861445783132524)	(85, 35.775)	(90, 35.93493975903615)	(95, 35.77078313253012)	(100, 35.88674698795181)	(105, 35.855120481927706)	(110, 36.1132530120482)	(115, 36.10240963855422)	(120, 36.022891566265066)	(125, 35.718674698795176)	(130, 35.816265060240966)	(135, 35.53403614457831)	(140, 35.753614457831326)	(145, 35.79879518072289)	(150, 35.52484939759036)
MargeSimpson_R1	(1, 36.01807228915663)	(2, 36.09186746987952)	(3, 36.04066265060241)	(4, 35.97289156626506)	(5, 36.36746987951807)	(6, 36.56475903614458)	(7, 36.480421686746986)	(8, 36.28313253012048)	(9, 36.506024096385545)	(10, 36.44427710843373)	(15, 36.34246987951807)	(20, 36.4566265060241)	(25, 36.13343373493976)	(30, 36.12409638554217)	(35, 36.21656626506024)	(40, 36.158433734939756)	(45, 36.287650602409634)	(50, 36.15873493975904)	(55, 36.235542168674705)	(60, 36.40060240963855)	(65, 36.21355421686747)	(70, 36.0789156626506)	(75, 35.91536144578313)	(80, 36.102560240963854)	(85, 36.03042168674699)	(90, 36.02831325301205)	(95, 36.15481927710843)	(100, 36.00662650602409)	(105, 35.93493975903615)	(110, 35.88524096385542)	(115, 36.07831325301205)	(120, 35.92620481927711)	(125, 35.78975903614458)	(130, 35.880120481927705)	(135, 35.93765060240964)	(140, 35.87048192771084)	(145, 35.88825301204819)	(150, 36.03463855421687)
MargeSimpson_R2	(1, 36.1094674556213)	(2, 35.79585798816568)	(3, 35.95414201183432)	(4, 35.875739644970416)	(5, 36.15828402366864)	(6, 36.34319526627219)	(7, 36.155325443786985)	(8, 36.27218934911242)	(9, 35.88609467455621)	(10, 36.253550295857984)	(15, 36.25029585798817)	(20, 36.27426035502959)	(25, 36.258284023668644)	(30, 36.350591715976336)	(35, 36.14970414201183)	(40, 36.299704142011834)	(45, 36.29940828402367)	(50, 36.07218934911243)	(55, 36.02100591715976)	(60, 36.064201183431955)	(65, 35.96005917159763)	(70, 36.06508875739645)	(75, 36.10236686390532)	(80, 36.06094674556213)	(85, 36.131065088757396)	(90, 35.838461538461544)	(95, 35.784319526627215)	(100, 35.97485207100592)	(105, 35.779289940828406)	(110, 35.65591715976332)	(115, 35.646153846153844)	(120, 35.72603550295858)	(125, 35.744082840236686)	(130, 35.58195266272189)	(135, 35.77633136094674)	(140, 35.586982248520705)	(145, 35.67662721893491)	(150, 35.694526627218934)
PattyBouvier_R1	(1, 36.222727272727276)	(2, 35.99393939393939)	(3, 36.31818181818182)	(4, 36.17121212121212)	(5, 36.58181818181818)	(6, 36.35)	(7, 36.525757575757574)	(8, 36.43333333333333)	(9, 36.554545454545455)	(10, 36.42060606060606)	(15, 36.32060606060606)	(20, 36.35606060606061)	(25, 36.38636363636364)	(30, 36.3160606060606)	(35, 36.42090909090909)	(40, 36.28575757575758)	(45, 36.22090909090909)	(50, 36.220909090909096)	(55, 36.24787878787879)	(60, 36.17060606060606)	(65, 35.89212121212121)	(70, 36.025151515151514)	(75, 36.09121212121212)	(80, 35.979393939393944)	(85, 36.150909090909096)	(90, 36.338181818181816)	(95, 36.20757575757576)	(100, 35.948787878787876)	(105, 36.027575757575754)	(110, 35.941515151515155)	(115, 35.99666666666667)	(120, 35.724848484848486)	(125, 35.790909090909096)	(130, 36.026969696969694)	(135, 35.79)	(140, 35.80393939393939)	(145, 35.70242424242424)	(150, 35.609848484848484)
PattyBouvier_R2	(1, 36.205357142857146)	(2, 36.22767857142857)	(3, 36.37797619047619)	(4, 36.285714285714285)	(5, 36.592261904761905)	(6, 36.382440476190474)	(7, 36.535714285714285)	(8, 36.482142857142854)	(9, 36.354166666666664)	(10, 36.166666666666664)	(15, 36.29226190476191)	(20, 36.37380952380952)	(25, 36.147619047619045)	(30, 36.21934523809524)	(35, 36.19940476190477)	(40, 36.1735119047619)	(45, 36.08154761904762)	(50, 36.14375)	(55, 36.172916666666666)	(60, 36.305952380952384)	(65, 36.083035714285714)	(70, 35.952083333333334)	(75, 36.08958333333334)	(80, 35.96696428571428)	(85, 35.691071428571426)	(90, 35.98571428571429)	(95, 36.02380952380952)	(100, 36.05357142857143)	(105, 35.96577380952381)	(110, 35.76309523809524)	(115, 35.79434523809523)	(120, 35.949107142857144)	(125, 36.117261904761904)	(130, 35.878273809523805)	(135, 35.58690476190476)	(140, 35.75654761904762)	(145, 35.52827380952381)	(150, 35.74181547619048)
